卒業要件チェッカー サンプル成績データ
動作確認用の架空データです
実在する学生の成績ではありません
""
年度,学期,科目区分,科目コード,授業科目名,単位数,担当教員,標準履修年次,備考,評語
2025,前期,情報学基盤科目,SAMPLE0020,線形代数学Ⅱ,2,サンプル教員,1,,A
2025,前期,情報学基盤科目,SAMPLE0021,コンピュータ入門,2,サンプル教員,1,,A
2025,前期,情報学基盤科目,SAMPLE0022,プログラミング概論,2,サンプル教員,1,,A
2025,前期,情報学基盤科目,SAMPLE0023,プログラミング演習Ⅰ,2,サンプル教員,1,,A
2025,前期,情報学基盤科目,SAMPLE0024,プログラミング演習Ⅱ,2,サンプル教員,2,,A
2025,前期,情報学基盤科目,SAMPLE0025,情報科学技術,2,サンプル教員,1,,A
2025,前期,情報学基盤科目,SAMPLE0026,情報基礎数学,1,サンプル教員,1,,A
2025,前期,情報学基盤科目,SAMPLE0027,情報ネットワークⅠ,2,サンプル教員,2,,A
2025,前期,情報学基盤科目,SAMPLE0028,オートマトンと言語理論,2,サンプル教員,2,,A
2025,前期,情報学基盤科目,SAMPLE0029,情報セキュリティⅠ,1,サンプル教員,3,,A
2025,前期,情報学基盤科目,SAMPLE0030,オペレーティングシステムⅠ,1,サンプル教員,3,,A
2025,前期,情報学基盤科目,SAMPLE0031,オペレーティングシステムⅡ,1,サンプル教員,3,,A
2025,前期,コミュニケーション,SAMPLE0032,科学者倫理,2,サンプル教員,2,,A
2025,前期,コミュニケーション,SAMPLE0033,技術英語Ⅰ,1,サンプル教員,2,,A
2025,前期,コミュニケーション,SAMPLE0034,実社会課題解決プロジェクトA,2,サンプル教員,1,,A
2025,前期,コミュニケーション,SAMPLE0035,実社会課題解決プロジェクトB,2,サンプル教員,2,,A
2025,前期,情報セキュリティ系科目,SAMPLE0036,情報数学Ⅰ,1,サンプル教員,2,,A
2025,前期,情報セキュリティ系科目,SAMPLE0037,情報数学Ⅱ,1,サンプル教員,2,,A
2025,前期,インフォメーションサイエンス,SAMPLE0038,論理回路,1,サンプル教員,2,,A
2025,前期,インフォメーションサイエンス,SAMPLE0039,ソフトウェア工学,2,サンプル教員,3,,A
2025,前期,インフォメーションサイエンス,SAMPLE0040,データベース,2,サンプル教員,2,,A
2025,前期,インフォメーションサイエンス,SAMPLE0041,コンピュータアーキテクチャⅠ,1,サンプル教員,2,,A
2025,前期,インフォメーションサイエンス,SAMPLE0042,ディジタル信号処理Ⅰ,2,サンプル教員,2,,A
2025,前期,インフォメーションサイエンス,SAMPLE0043,ディジタル信号処理Ⅱ,2,サンプル教員,2,,A
2025,前期,インフォメーションサイエンス,SAMPLE0044,データ構造とアルゴリズム,2,サンプル教員,2,,A
2025,前期,インフォメーションサイエンス,SAMPLE0045,プログラミング演習Ⅲ,1,サンプル教員,2,,A
2025,前期,インフォメーションサイエンス,SAMPLE0046,プログラミング演習Ⅳ,2,サンプル教員,3,,A
2025,前期,インフォメーションサイエンス,SAMPLE0047,情報工学実験Ⅰ,1,サンプル教員,2,,A
2025,前期,インフォメーションサイエンス,SAMPLE0048,情報工学実験Ⅱ,1,サンプル教員,2,,A
2025,前期,インフォメーションサイエンス,SAMPLE0049,情報工学実験Ⅲ,2,サンプル教員,3,,A
2025,前期,インフォメーションサイエンス,SAMPLE0050,情報工学実験Ⅳ,1,サンプル教員,3,,A
2025,前期,卒業研究,SAMPLE0051,卒業研究,8,サンプル教員,4,,A
2025,前期,情報学基盤科目,SAMPLE0052,微分積分学Ⅲ,2,サンプル教員,2,,A
2025,前期,情報学基盤科目,SAMPLE0053,情報理論,2,サンプル教員,2,,A
2025,前期,情報学基盤科目,SAMPLE0054,情報ネットワークⅡ,1,サンプル教員,2,,A
2025,前期,情報学基盤科目,SAMPLE0055,コンパイラ,1,サンプル教員,2,,A
2025,前期,情報学基盤科目,SAMPLE0056,グラフ理論と最適化,2,サンプル教員,2,,A
2025,前期,情報学基盤科目,SAMPLE0057,画像処理,2,サンプル教員,3,,A
2025,前期,情報学基盤科目,SAMPLE0058,HCI,2,サンプル教員,3,,A
2025,前期,情報学基盤科目,SAMPLE0059,マシンビジョン,2,サンプル教員,3,,A
2025,前期,情報学基盤科目,SAMPLE0060,音響音声工学,2,サンプル教員,3,,A
2025,前期,情報学基盤科目,SAMPLE0061,認知システム論A,2,サンプル教員,3,,A
2025,前期,情報学基盤科目,SAMPLE0062,認知システム論B,2,サンプル教員,3,,A
2025,前期,コミュニケーション,SAMPLE0063,情報メディア論,2,サンプル教員,1,,A
2025,前期,コミュニケーション,SAMPLE0064,デザイン情報学Ⅰ,2,サンプル教員,3,,A
2025,前期,コミュニケーション,SAMPLE0065,デザイン情報学Ⅱ,2,サンプル教員,3,,A
2025,前期,コミュニケーション,SAMPLE0066,技術英語Ⅱ,1,サンプル教員,3,,A
