卒業要件チェッカー サンプル成績データ
動作確認用の架空データです
実在する学生の成績ではありません
""
年度,学期,科目区分,科目コード,授業科目名,単位数,担当教員,標準履修年次,備考,評語
2025,前期,情報学基盤科目,SAMPLE0020,線形代数学Ⅱ,2,サンプル教員,1,,A
2025,前期,情報学基盤科目,SAMPLE0021,コンピュータ入門,2,サンプル教員,1,,A
2025,前期,情報学基盤科目,SAMPLE0022,プログラミング概論,2,サンプル教員,1,,A
2025,前期,情報学基盤科目,SAMPLE0023,プログラミング演習Ⅰ,2,サンプル教員,1,,A
2025,前期,情報学基盤科目,SAMPLE0024,プログラミング演習Ⅱ,2,サンプル教員,2,,A
2025,前期,情報学基盤科目,SAMPLE0025,情報科学技術,2,サンプル教員,1,,A
2025,前期,情報学基盤科目,SAMPLE0026,情報基礎数学,1,サンプル教員,1,,A
2025,前期,情報学基盤科目,SAMPLE0027,情報ネットワークⅠ,2,サンプル教員,2,,A
2025,前期,情報学基盤科目,SAMPLE0028,オートマトンと言語理論,2,サンプル教員,2,,A
2025,前期,情報学基盤科目,SAMPLE0029,情報セキュリティⅠ,1,サンプル教員,3,,A
2025,前期,コミュニケーション,SAMPLE0030,科学者倫理,2,サンプル教員,2,,A
2025,前期,コミュニケーション,SAMPLE0031,技術英語Ⅰ,1,サンプル教員,2,,A
2025,前期,コミュニケーション,SAMPLE0032,実社会課題解決プロジェクトA,2,サンプル教員,1,,A
2025,前期,コミュニケーション,SAMPLE0033,実社会課題解決プロジェクトB,2,サンプル教員,2,,A
2025,前期,AI系科目,SAMPLE0034,ビッグデータ分析,2,サンプル教員,3,,A
2025,前期,AI系科目,SAMPLE0035,ビッグデータ分析演習,2,サンプル教員,3,,A
2025,前期,AI系科目,SAMPLE0036,パターン認識と機械学習,2,サンプル教員,3,,A
2025,前期,AI系科目,SAMPLE0037,パターン認識と機械学習演習,2,サンプル教員,3,,A
2025,前期,データサイエンス,SAMPLE0038,探索的記述統計,2,サンプル教員,2,,A
2025,前期,データサイエンス,SAMPLE0039,情報統計学,2,サンプル教員,2,,A
2025,前期,データサイエンス,SAMPLE0040,基礎データ分析演習,2,サンプル教員,2,,A
2025,前期,データサイエンス,SAMPLE0041,応用データ分析演習,2,サンプル教員,2,,A
2025,前期,データサイエンス,SAMPLE0042,多変量解析,2,サンプル教員,2,,A
2025,前期,データサイエンス,SAMPLE0043,社会・観光情報学A,2,サンプル教員,2,,A
2025,前期,卒業研究,SAMPLE0044,卒業研究,8,サンプル教員,4,,A
2025,前期,データサイエンス,SAMPLE0045,社会・観光情報学B,2,サンプル教員,3,,A
2025,前期,データサイエンス,SAMPLE0046,社会・観光情報学C,2,サンプル教員,3,,A
2025,前期,情報学基盤科目,SAMPLE0047,微分積分学Ⅲ,2,サンプル教員,2,,A
2025,前期,情報学基盤科目,SAMPLE0048,情報理論,2,サンプル教員,2,,A
2025,前期,情報学基盤科目,SAMPLE0049,情報ネットワークⅡ,1,サンプル教員,2,,A
2025,前期,情報学基盤科目,SAMPLE0050,コンパイラ,1,サンプル教員,2,,A
2025,前期,情報学基盤科目,SAMPLE0051,グラフ理論と最適化,2,サンプル教員,2,,A
2025,前期,情報学基盤科目,SAMPLE0052,オペレーティングシステムⅠ,1,サンプル教員,3,,A
2025,前期,情報学基盤科目,SAMPLE0053,オペレーティングシステムⅡ,1,サンプル教員,3,,A
2025,前期,情報学基盤科目,SAMPLE0054,画像処理,2,サンプル教員,3,,A
2025,前期,情報学基盤科目,SAMPLE0055,HCI,2,サンプル教員,3,,A
2025,前期,情報学基盤科目,SAMPLE0056,マシンビジョン,2,サンプル教員,3,,A
2025,前期,情報学基盤科目,SAMPLE0057,音響音声工学,2,サンプル教員,3,,A
2025,前期,情報学基盤科目,SAMPLE0058,認知システム論A,2,サンプル教員,3,,A
2025,前期,情報学基盤科目,SAMPLE0059,認知システム論B,2,サンプル教員,3,,A
2025,前期,コミュニケーション,SAMPLE0060,情報メディア論,2,サンプル教員,1,,A
2025,前期,コミュニケーション,SAMPLE0061,デザイン情報学Ⅰ,2,サンプル教員,3,,A
2025,前期,コミュニケーション,SAMPLE0062,デザイン情報学Ⅱ,2,サンプル教員,3,,A
