卒業要件チェッカー サンプル成績データ
動作確認用の架空データです
実在する学生の成績ではありません
""
年度,学期,科目区分,科目コード,授業科目名,単位数,担当教員,標準履修年次,備考,評語
2025,前期,情報セキュリティ系科目,SAMPLE0036,情報数学Ⅰ,1,サンプル教員,2,,A
2025,前期,情報セキュリティ系科目,SAMPLE0037,情報数学Ⅱ,1,サンプル教員,2,,A
2025,前期,インフォメーションサイエンス,SAMPLE0038,論理回路,1,サンプル教員,2,,A
2025,前期,インフォメーションサイエンス,SAMPLE0039,ソフトウェア工学,2,サンプル教員,3,,A
2025,前期,インフォメーションサイエンス,SAMPLE0040,データベース,2,サンプル教員,2,,A
2025,前期,インフォメーションサイエンス,SAMPLE0041,コンピュータアーキテクチャⅠ,1,サンプル教員,2,,A
2025,前期,インフォメーションサイエンス,SAMPLE0042,ディジタル信号処理Ⅰ,2,サンプル教員,2,,A
2025,前期,インフォメーションサイエンス,SAMPLE0043,ディジタル信号処理Ⅱ,2,サンプル教員,2,,A
2025,前期,インフォメーションサイエンス,SAMPLE0044,データ構造とアルゴリズム,2,サンプル教員,2,,A
2025,前期,インフォメーションサイエンス,SAMPLE0045,プログラミング演習Ⅲ,1,サンプル教員,2,,A
2025,前期,インフォメーションサイエンス,SAMPLE0046,プログラミング演習Ⅳ,2,サンプル教員,3,,A
2025,前期,インフォメーションサイエンス,SAMPLE0047,情報工学実験Ⅰ,1,サンプル教員,2,,A
2025,前期,インフォメーションサイエンス,SAMPLE0048,情報工学実験Ⅱ,1,サンプル教員,2,,A
2025,前期,インフォメーションサイエンス,SAMPLE0049,情報工学実験Ⅲ,2,サンプル教員,3,,A
2025,前期,インフォメーションサイエンス,SAMPLE0050,情報工学実験Ⅳ,1,サンプル教員,3,,A
2025,前期,情報学基盤科目,SAMPLE0051,微分積分学Ⅲ,2,サンプル教員,2,,A
2025,前期,情報学基盤科目,SAMPLE0052,情報理論,2,サンプル教員,2,,A
2025,前期,情報学基盤科目,SAMPLE0053,情報ネットワークⅡ,1,サンプル教員,2,,A
2025,前期,情報学基盤科目,SAMPLE0054,コンパイラ,1,サンプル教員,2,,A
2025,前期,情報学基盤科目,SAMPLE0055,グラフ理論と最適化,2,サンプル教員,2,,A
2025,前期,情報学基盤科目,SAMPLE0056,画像処理,2,サンプル教員,3,,A
2025,前期,情報学基盤科目,SAMPLE0057,HCI,2,サンプル教員,3,,A
2025,前期,情報学基盤科目,SAMPLE0058,マシンビジョン,2,サンプル教員,3,,A
2025,前期,情報学基盤科目,SAMPLE0059,音響音声工学,2,サンプル教員,3,,A
2025,前期,情報学基盤科目,SAMPLE0060,認知システム論A,2,サンプル教員,3,,A
2025,前期,情報学基盤科目,SAMPLE0061,認知システム論B,2,サンプル教員,3,,A
2025,前期,コミュニケーション,SAMPLE0062,情報メディア論,2,サンプル教員,1,,A
2025,前期,コミュニケーション,SAMPLE0063,デザイン情報学Ⅰ,2,サンプル教員,3,,A
2025,前期,コミュニケーション,SAMPLE0064,デザイン情報学Ⅱ,2,サンプル教員,3,,A
2025,前期,コミュニケーション,SAMPLE0065,技術英語Ⅱ,1,サンプル教員,3,,A
