卒業要件チェッカー サンプル成績データ
動作確認用の架空データです
実在する学生の成績ではありません
""
年度,学期,科目区分,科目コード,授業科目名,単位数,担当教員,標準履修年次,備考,評語
2025,前期,インフォメーションサイエンス,SAMPLE0037,ディジタル信号処理Ⅱ,2,サンプル教員,2,,A
2025,前期,インフォメーションサイエンス,SAMPLE0038,データ構造とアルゴリズム,2,サンプル教員,2,,A
2025,前期,インフォメーションサイエンス,SAMPLE0039,プログラミング演習Ⅲ,1,サンプル教員,2,,A
2025,前期,インフォメーションサイエンス,SAMPLE0040,プログラミング演習Ⅳ,2,サンプル教員,3,,A
2025,前期,インフォメーションサイエンス,SAMPLE0041,情報工学実験Ⅰ,1,サンプル教員,2,,A
2025,前期,インフォメーションサイエンス,SAMPLE0042,情報工学実験Ⅱ,1,サンプル教員,2,,A
2025,前期,インフォメーションサイエンス,SAMPLE0043,情報工学実験Ⅲ,2,サンプル教員,3,,A
2025,前期,インフォメーションサイエンス,SAMPLE0044,情報工学実験Ⅳ,1,サンプル教員,3,,A
2025,前期,卒業研究,SAMPLE0045,卒業研究,8,サンプル教員,4,,A
2025,前期,情報学基盤科目,SAMPLE0046,情報理論,2,サンプル教員,2,,A
2025,前期,情報学基盤科目,SAMPLE0047,情報ネットワークⅡ,1,サンプル教員,2,,A
2025,前期,情報学基盤科目,SAMPLE0048,コンパイラ,1,サンプル教員,2,,A
2025,前期,情報学基盤科目,SAMPLE0049,グラフ理論と最適化,2,サンプル教員,2,,A
2025,前期,情報学基盤科目,SAMPLE0050,画像処理,2,サンプル教員,3,,A
2025,前期,情報学基盤科目,SAMPLE0051,HCI,2,サンプル教員,3,,A
2025,前期,情報学基盤科目,SAMPLE0052,マシンビジョン,2,サンプル教員,3,,A
2025,前期,情報学基盤科目,SAMPLE0053,音響音声工学,2,サンプル教員,3,,A
2025,前期,情報学基盤科目,SAMPLE0054,認知システム論A,2,サンプル教員,3,,A
2025,前期,情報学基盤科目,SAMPLE0055,認知システム論B,2,サンプル教員,3,,A
2025,前期,コミュニケーション,SAMPLE0056,情報メディア論,2,サンプル教員,1,,A
2025,前期,コミュニケーション,SAMPLE0057,デザイン情報学Ⅰ,2,サンプル教員,3,,A
2025,前期,コミュニケーション,SAMPLE0058,デザイン情報学Ⅱ,2,サンプル教員,3,,A
2025,前期,コミュニケーション,SAMPLE0059,技術英語Ⅱ,1,サンプル教員,3,,A
2025,前期,コミュニケーション,SAMPLE0060,技術英語Ⅲ,1,サンプル教員,3,,A
2025,前期,コミュニケーション,SAMPLE0061,技術英語Ⅳ,1,サンプル教員,4,,A
2025,前期,コミュニケーション,SAMPLE0062,プロジェクト研究,1,サンプル教員,3,,A
